V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	Q1	Q2	Q3	Q4	Q5	Q6	Q7_5	Q7_6	Q7_7	Q7_8	Q7_9	Q7_10	Q7_11	Q7_12	Q7_13	Q7_14	Q7_16	Q7_17	Q7_18	Q7_20	Q7_21	Q7_22	Q7_23	Q7_24	Q7_25	Q7_26	Q7_27	Q8	Q9	Q10	Q11	Q12_1	Q12_2	Q12_3	Q12_5	Q12_6	Q13_1	Q13_2	Q13_3	Q13_4	Q13_5	Q17_1	Q17_2	Q17_3	Q17_4	Q17_5	Q14	Q15	LocationLatitude	LocationLongitude	LocationAccuracy
R_9FfUmcg4XSDVcvb	Default Response Set	Anonymous			108.84.128.84	0	3/6/2016 23:13	3/6/2016 23:15	1	2	2	1	4	1	2			1	3			1				3			1	3				2			1		2	2		1	1					1	1			1		1				42.78529358	-83.58640289	-1
R_emrZZtE0Q9TVA9v	Default Response Set	Anonymous			68.48.88.196	0	3/6/2016 23:58	3/6/2016 23:59	1	2	3	2	4	2	3			1		2				1	1			2			3			1			2		2	3		1		1				1	1				1	1				42.91960144	-83.64959717	-1
R_3E1ViKIyMyVynjL	Default Response Set	Anonymous			183.82.216.239	0	3/7/2016 1:19	3/7/2016 1:20	1	1	2	5	4	3	3	2															2			2			3		2	4				1						1					1			17.37530518	78.47439575	-1
R_a4SgboT3cxSHoUd	Default Response Set	Anonymous			80.76.170.200	0	3/7/2016 13:22	3/7/2016 13:26	1	1	2	3	4	2	1							3	2				2		4			1					4	To watch funny videos	2	4					1					1		1						25.28669739	51.53329468	-1
R_0cj6fareXekO3DT	Default Response Set	Anonymous			80.76.172.185	0	3/7/2016 13:28	3/7/2016 13:31	1	1	2	3	4	2	2	1	2	1	3	1	1		1	1	1	1	2	1	2	1	2	2	1	1	2	1	3		1	4			1					1							1			25.28669739	51.53329468	-1
R_eR7xKL76uC8k03b	Default Response Set	Anonymous			50.153.215.81	0	3/7/2016 13:36	3/7/2016 13:39	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	I express my love to the girlfriend	2	4			1						1			1				Sometimes helpful	Relaxation to me	42.97569275	-83.66280365	-1
R_9Evcg6TjC8uTCf3	Default Response Set	Anonymous			166.216.159.110	0	3/7/2016 14:00	3/7/2016 14:02	1	2	2	2	4	1	2			1	2	3	1	1	3		2	3	3				1			1		4	2		2	2			1				1		1		1	1						42.36549377	-83.53669739	-1
R_5ifVA07B52QUcG9	Default Response Set	Anonymous			106.220.15.4	0	3/7/2016 13:56	3/7/2016 14:02	1	1	2	1	4	1	1	1	1	4	1	2		1		1	4	2	3	1		2	1	3	1	3	2	1	1	Staying connected with people and espressing the feelings.. News updates.. Movies info.. What not.. Every thing	1	4		1	1	1	1		1	1		1		1	1			Gained lot of knowledge 	Got lot many new Friends and special persons as well 	17.37530518	78.47439575	-1
R_bC2Bhwnfoq2Zg6V	Default Response Set	Anonymous			107.147.212.38	0	3/7/2016 14:09	3/7/2016 14:16	1	1	2	1	5	1	1		1											2	4						3		2	One can know anything instantaneously 	2	4					1			1							1	Very 	its much easier and comfortable 	42.4980011	-83.40720367	-1
R_24BFEtLzhL8Jw3P	Default Response Set	Anonymous			141.216.168.14	0	3/7/2016 14:53	3/7/2016 14:56	1	1	2	2	2	1	2																						2		2	4		1						1							1			43.01379395	-83.68830109	-1
